source_id,name,name_key,category,subcategory,tourism,amenity,shop,man_made,opening_hours,city,district,province,latitude,longitude,source,source_file
node/7779781799,"Co-Operative City,Thawalama",co operative city thawalama,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.3359045,80.3399371,openstreetmap,points_of_interest.geojson
node/7779781798,"Lanka Sathosa,Thawalama",lanka sathosa thawalama,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.3386856,80.3371207,openstreetmap,points_of_interest.geojson
node/7778780206,Gagasiri Hotel,gagasiri hotel,food,restaurant,,restaurant,,,,,Galle,Southern,6.3430955,80.3331926,openstreetmap,points_of_interest.geojson
way/627110429,Nimali gest,nimali gest,accommodation,motel,motel,,,,,,Galle,Southern,6.30016175,80.31788669764612,openstreetmap,points_of_interest.geojson
node/7777240602,Kanneliya Conservation Center,kanneliya conservation center,attraction,information,information,,,,,,Galle,Southern,6.2515389,80.3385115,openstreetmap,points_of_interest.geojson
node/2616147812,Kanneliya Rainforest Reserve,kanneliya rainforest reserve,attraction,viewpoint,viewpoint,,,,,,Galle,Southern,6.2510037,80.3379577,openstreetmap,points_of_interest.geojson
node/7777240594,Thilini Home Stay,thilini home stay,accommodation,hotel,hotel,,,,,,Galle,Southern,6.2505683,80.3303106,openstreetmap,points_of_interest.geojson
way/535518586,kkkk,kkkk,food,restaurant,,restaurant,,,,,Galle,Southern,6.224539050000001,80.28904712771185,openstreetmap,points_of_interest.geojson
node/4621586590,Tea shop-factory,tea shop factory,attraction,attraction,attraction,,,,,,Galle,Southern,6.1950683,80.3242,openstreetmap,points_of_interest.geojson
node/4860376030,West Tech Engneerig,west tech engneerig,shopping,car_repair,,,car_repair,,24/7,,Galle,Southern,6.203191,80.3357475,openstreetmap,points_of_interest.geojson
node/11055182007,"Laksela Food City, Udugama",laksela food city udugama,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.1858804,80.3417073,openstreetmap,points_of_interest.geojson
node/11055129208,Danajani Trade Center,danajani trade center,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.1911917,80.3599406,openstreetmap,points_of_interest.geojson
node/5455788124,tea factory,tea factory,attraction,attraction,attraction,,,,,,Galle,Southern,6.2186047,80.3627056,openstreetmap,points_of_interest.geojson
node/7777690001,"Randilu Suprer city,Opatha.",randilu suprer city opatha,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.2674002,80.4129595,openstreetmap,points_of_interest.geojson
node/7777689996,SINGER,singer,shopping,furniture,,,furniture,,,,Galle,Southern,6.2675788,80.412861,openstreetmap,points_of_interest.geojson
way/1192256397,Hotel,hotel,food,restaurant,,restaurant,,,,,Galle,Southern,6.378117100000001,80.36214952779945,openstreetmap,points_of_interest.geojson
node/2155827833,Sathosa,sathosa,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.3778697,80.3618702,openstreetmap,points_of_interest.geojson
way/1009621936,Lasen resturant,lasen resturant,food,restaurant,,restaurant,,,,,Galle,Southern,6.3781092,80.36149141558786,openstreetmap,points_of_interest.geojson
way/1009577013,Matara stores,matara stores,shopping,shoe_repair,,,shoe_repair,,,,Galle,Southern,6.377500749999999,80.36142305604011,openstreetmap,points_of_interest.geojson
way/380930893,Hikkaduwe akka hotel,hikkaduwe akka hotel,food,restaurant,,restaurant,,,,,Galle,Southern,6.3778172,80.36133470236886,openstreetmap,points_of_interest.geojson
node/2155827331,Sinharaja Cottage,sinharaja cottage,accommodation,motel,motel,,,,,,Galle,Southern,6.3807658,80.3611421,openstreetmap,points_of_interest.geojson
node/3563664791,Dooli Ella Waterfall,dooli ella waterfall,attraction,attraction,attraction,,,,,,Galle,Southern,6.3919677,80.392724,openstreetmap,points_of_interest.geojson
node/5166965479,Lankagama Sangili Palama,lankagama sangili palama,attraction,viewpoint,viewpoint,,,,,,Galle,Southern,6.3688789,80.4569311,openstreetmap,points_of_interest.geojson
node/10570114947,"Sinharaja, Lankagama Entrance",sinharaja lankagama entrance,attraction,attraction,attraction,,,,,,Galle,Southern,6.3727073,80.4529069,openstreetmap,points_of_interest.geojson
node/10570114946,Ticket Counter,ticket counter,shopping,ticket,,,ticket,,,Deniyaya,Galle,Southern,6.3746461,80.453062,openstreetmap,points_of_interest.geojson
node/5745528021,Sinharaja Conservation Centre,sinharaja conservation centre,attraction,attraction,attraction,,,,,,Galle,Southern,6.3645587,80.4786707,openstreetmap,points_of_interest.geojson
node/7231920285,Aranu Forest Resort,aranu forest resort,accommodation,guest_house,guest_house,,,,,,Galle,Southern,6.3670094,80.4782824,openstreetmap,points_of_interest.geojson
node/7231920186,Sinharaja Forest View Holiday Resort,sinharaja forest view holiday resort,accommodation,guest_house,guest_house,,,,,,Galle,Southern,6.3704339,80.478104,openstreetmap,points_of_interest.geojson
node/5199756893,Bedda Eco Cottages,bedda eco cottages,accommodation,hotel,hotel,,,,,Pitabeddara,Matara,Southern,6.1917382,80.4765957,openstreetmap,points_of_interest.geojson
node/11068298707,Lake Garden Resturent,lake garden resturent,food,restaurant,,restaurant,,,,Akuresse,Matara,Southern,6.1444551,80.4770641,openstreetmap,points_of_interest.geojson
node/3439350435,Abans,abans,shopping,electronics,,,electronics,,,Akuressa,Matara,Southern,6.0988953,80.4787552,openstreetmap,points_of_interest.geojson
node/2164965771,New Dharshana Cinema,new dharshana cinema,activity,cinema,,cinema,,,,,Matara,Southern,6.099803,80.4792773,openstreetmap,points_of_interest.geojson
node/3439339989,Singer Plus,singer plus,shopping,electronics,,,electronics,,,Akuressa,Matara,Southern,6.1004256,80.4781895,openstreetmap,points_of_interest.geojson
node/3439352215,Sisil World,sisil world,shopping,electronics,,,electronics,,,Akuressa,Matara,Southern,6.101371,80.4767228,openstreetmap,points_of_interest.geojson
node/6852252385,Ajantha,ajantha,attraction,viewpoint,viewpoint,,,,,,Matara,Southern,6.1012783,80.4763285,openstreetmap,points_of_interest.geojson
node/3439350444,Sathosa,sathosa,shopping,supermarket,,,supermarket,,,,Matara,Southern,6.1002766,80.4763827,openstreetmap,points_of_interest.geojson
node/8059088563,Kithsaa Communication,kithsaa communication,shopping,books,,,books,,Mo-Sa 07:30-19:00,Akuressa,Matara,Southern,6.0958924,80.4766133,openstreetmap,points_of_interest.geojson
way/736939928,Dilshan Motors,dilshan motors,shopping,car_repair,,,car_repair,,,,Matara,Southern,6.09538115,80.4765385,openstreetmap,points_of_interest.geojson
node/6899508541,Cell Broadcasting Tower,cell broadcasting tower,attraction,tower,,,,tower,,,Matara,Southern,6.0788997,80.4730672,openstreetmap,points_of_interest.geojson
node/4114885397,etambagahawila tea factory,etambagahawila tea factory,shopping,convenience,,,convenience,,,,Matara,Southern,6.0498409,80.4244658,openstreetmap,points_of_interest.geojson
node/11055129207,"Prabath Super, Udugama",prabath super udugama,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.1568209,80.3526978,openstreetmap,points_of_interest.geojson
node/7159792761,Super market,super market,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.1060197,80.3486851,openstreetmap,points_of_interest.geojson
node/4590834789,Hareesha Holiday Resort,hareesha holiday resort,accommodation,hotel,hotel,,,,,,Galle,Southern,6.1028127,80.3510485,openstreetmap,points_of_interest.geojson
node/11055129206,"Shanthi Bookshop, Nambadawa",shanthi bookshop nambadawa,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.1082365,80.354672,openstreetmap,points_of_interest.geojson
node/3493298910,Kananke Bridge,kananke bridge,attraction,attraction,attraction,,,,,,Matara,Southern,6.041543,80.4082151,openstreetmap,points_of_interest.geojson
node/9470492177,Gradely Estate Cinnamon Plantation,gradely estate cinnamon plantation,shopping,spices,,,spices,,,,Matara,Southern,6.0340273,80.4051197,openstreetmap,points_of_interest.geojson
node/5800272353,Pallisters,pallisters,attraction,attraction,attraction,,,,Fr-Su 10:00-17:00,,Matara,Southern,5.9862051,80.3953023,openstreetmap,points_of_interest.geojson
way/427698990,Midigama Fruit Farm,midigama fruit farm,shopping,farm,,,farm,,Mo-Sa 07:00-17:00,Ahangama,Matara,Southern,5.9850354,80.39246639271985,openstreetmap,points_of_interest.geojson
node/2370163337,Samarasingha tyre,samarasingha tyre,shopping,tyres,,,tyres,,,Imaduwa,Galle,Southern,6.0369595,80.3915967,openstreetmap,points_of_interest.geojson
node/2370163482,Bar,bar,food,bar,,bar,,,,,Galle,Southern,6.0368491,80.3916905,openstreetmap,points_of_interest.geojson
node/2370160035,Shirani kade,shirani kade,shopping,grocery,,,grocery,,,,Galle,Southern,6.0392397,80.3888811,openstreetmap,points_of_interest.geojson
node/4713069489,IB Fastion,ib fastion,shopping,clothes,,,clothes,,Mo-Su 09:00-18:00,,Galle,Southern,6.0355792,80.3891355,openstreetmap,points_of_interest.geojson
node/11055182005,"Thisara St, Dikkumbura",thisara st dikkumbura,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.0172867,80.3786065,openstreetmap,points_of_interest.geojson
node/11052205805,"KGG st, Dikkumbura",kgg st dikkumbura,shopping,variety_store,,,variety_store,,,,Galle,Southern,6.019145,80.3676882,openstreetmap,points_of_interest.geojson
node/5316033921,Davora Iththagala tea factory,davora iththagala tea factory,shopping,supermarket,,,supermarket,,,,Galle,Southern,6.0350882,80.3554949,openstreetmap,points_of_interest.geojson
node/11052205206,"Priyantha St, Dikkumbura",priyantha st dikkumbura,shopping,tyres,,,tyres,,,,Galle,Southern,6.0181579,80.3575985,openstreetmap,points_of_interest.geojson
way/1030601255,Handunugoda Tea Estate,handunugoda tea estate,attraction,museum,museum,,yes,,Mo-Su 08:00-17:00,,Galle,Southern,6.0136427999999995,80.3641776981473,openstreetmap,points_of_interest.geojson
node/3053006690,Villa Alexandra,villa alexandra,accommodation,hotel,hotel,,,,,Unawatuna,Galle,Southern,5.9936364,80.3496059,openstreetmap,points_of_interest.geojson
way/933330309,Viraj Hardwears,viraj hardwears,shopping,convenience,,,convenience,,,,Galle,Southern,5.9882351499999995,80.35047055,openstreetmap,points_of_interest.geojson
node/10696116107,Nimal’s Kitchen,nimals kitchen,food,restaurant,,restaurant,,,,Ahangama,Galle,Southern,5.9845675,80.3489411,openstreetmap,points_of_interest.geojson
node/3053026797,Ahangama House,ahangama house,accommodation,hotel,hotel,,,,,Unawatuna,Galle,Southern,5.9811121,80.3541607,openstreetmap,points_of_interest.geojson
node/13606967501,D Mount Villa,d mount villa,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9817556,80.3585239,openstreetmap,points_of_interest.geojson
node/11052205905,"Nesanga St,Dikkumbura",nesanga st dikkumbura,shopping,variety_store,,,variety_store,,,,Galle,Southern,5.9878397,80.371754,openstreetmap,points_of_interest.geojson
node/14026569302,Sola,sola,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9876857,80.3744,openstreetmap,points_of_interest.geojson
node/14026573701,Mali,mali,food,restaurant,,restaurant,,,,,Galle,Southern,5.9876746,80.3742401,openstreetmap,points_of_interest.geojson
node/7148176186,The Kip,the kip,food,cafe,,cafe,,,,,Galle,Southern,5.9699831,80.3734508,openstreetmap,points_of_interest.geojson
node/3053064476,Puhulyaya Holiday Bungalow,puhulyaya holiday bungalow,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.9685565,80.3749926,openstreetmap,points_of_interest.geojson
way/935383522,Lotus Surf & Wellness,lotus surf wellness,accommodation,guest_house,guest_house,,,,,,Galle,Southern,5.9686453,80.37504524084761,openstreetmap,points_of_interest.geojson
node/12700960701,Samba Ahangama,samba ahangama,food,restaurant,,restaurant,,,Mo-Su 07:30-21:00,,Galle,Southern,5.9681691,80.3733773,openstreetmap,points_of_interest.geojson
node/11027695210,The Jam House,the jam house,food,restaurant,,restaurant,,,Tuesday-Sunday 10:00-22:00,Ahangama,Galle,Southern,5.9679206,80.373649,openstreetmap,points_of_interest.geojson
node/13828686770,Ahangama Beach,ahangama beach,attraction,attraction,attraction,,,,,,Galle,Southern,5.9669042,80.374696,openstreetmap,points_of_interest.geojson
node/7252414285,Mr Sunils,mr sunils,food,restaurant,,restaurant,,,,,Galle,Southern,5.9660864,80.3764112,openstreetmap,points_of_interest.geojson
node/3053113734,Ocean Dreams Hotel,ocean dreams hotel,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.9665452,80.3765443,openstreetmap,points_of_interest.geojson
node/7242252587,Travel tails,travel tails,accommodation,hostel,hostel,,,,,,Galle,Southern,5.9657607,80.3768384,openstreetmap,points_of_interest.geojson
way/934640743,Lace House,lace house,accommodation,apartment,apartment,,,,,,Galle,Southern,5.9656115,80.37801920807811,openstreetmap,points_of_interest.geojson
node/12698110301,Rehab Social Ahangama,rehab social ahangama,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9659381,80.3778034,openstreetmap,points_of_interest.geojson
node/12701781101,Machan Curry Pot,machan curry pot,food,restaurant,,restaurant,,,Mo-Su 12:00-22:00,,Galle,Southern,5.9676507,80.3780585,openstreetmap,points_of_interest.geojson
way/937310368,Jayasumnarama Viharaya Dagoba,jayasumnarama viharaya dagoba,attraction,place_of_worship,,place_of_worship,,tower,,Ahangama,Matara,Southern,5.9706146,80.38163371190952,openstreetmap,points_of_interest.geojson
node/1640241533,Sayurima Hotel,sayurima hotel,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9652945,80.3805488,openstreetmap,points_of_interest.geojson
node/1640240390,Anthonys Inn,anthonys inn,accommodation,guest_house,guest_house,,,,,,Matara,Southern,5.9656228,80.3806531,openstreetmap,points_of_interest.geojson
node/1640241534,Sayurima,sayurima,food,restaurant,,restaurant,,,,,Galle,Southern,5.9652343,80.3806498,openstreetmap,points_of_interest.geojson
node/13439512753,Piccadilly Parlour,piccadilly parlour,food,cafe,,cafe,,,,,Galle,Southern,5.9716623,80.3648607,openstreetmap,points_of_interest.geojson
node/13506125701,Gitano Surf Ahangama,gitano surf ahangama,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9717539,80.3646593,openstreetmap,points_of_interest.geojson
node/13439636412,Odara Foods,odara foods,food,restaurant,,restaurant,,,,,Galle,Southern,5.9716942,80.3654171,openstreetmap,points_of_interest.geojson
node/3053064369,Azure Beach Villa,azure beach villa,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.9702534,80.36736,openstreetmap,points_of_interest.geojson
node/12697915401,Mermaid's Kitchen Ahangama,mermaid s kitchen ahangama,food,restaurant,,restaurant,,,Mo-Su 09:30-22:00,,Galle,Southern,5.9702466,80.3672881,openstreetmap,points_of_interest.geojson
node/7108864185,Stick Fishermen,stick fishermen,attraction,attraction,attraction,,,,,,Galle,Southern,5.9699302,80.3680142,openstreetmap,points_of_interest.geojson
node/3053064515,Wadiya on the Beach Resort,wadiya on the beach resort,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.9679231,80.3709985,openstreetmap,points_of_interest.geojson
node/2643487665,Luxury Villa Indisch,luxury villa indisch,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9680251,80.3725076,openstreetmap,points_of_interest.geojson
node/13828686769,Ahangama Secret Beach,ahangama secret beach,attraction,attraction,attraction,,,,,,Galle,Southern,5.9676066,80.3713103,openstreetmap,points_of_interest.geojson
node/13472741801,Manori's Kitchen,manori s kitchen,food,restaurant,,restaurant,,,,,Galle,Southern,5.9703081,80.3712702,openstreetmap,points_of_interest.geojson
node/3053064366,Sudharma Boutique Hotel,sudharma boutique hotel,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9721396,80.370818,openstreetmap,points_of_interest.geojson
node/12701593801,Koffi Ahangama,koffi ahangama,food,cafe,,cafe,,,Mo-Su 06:30-18:30,,Galle,Southern,5.9689407,80.3706024,openstreetmap,points_of_interest.geojson
node/12698215501,Chameleon Ahangama,chameleon ahangama,food,cafe,,cafe,,,Fr-We 07:00-15:00,,Galle,Southern,5.9690832,80.3706098,openstreetmap,points_of_interest.geojson
node/3053061412,Lark Hill,lark hill,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.9738725,80.3669896,openstreetmap,points_of_interest.geojson
node/4717181562,Sunshine Stories,sunshine stories,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9749244,80.3666239,openstreetmap,points_of_interest.geojson
way/1483199456,Hostel Gang,hostel gang,accommodation,hostel,hostel,,,,,,Galle,Southern,5.977285,80.36033542787531,openstreetmap,points_of_interest.geojson
node/13624728801,Mango Shade Villa,mango shade villa,accommodation,guest_house,guest_house,,,,,,Galle,Southern,5.9752205,80.3616426,openstreetmap,points_of_interest.geojson
node/13598259105,Gang Kitchen,gang kitchen,food,restaurant,,restaurant,,,Sa-Th 00:00-24:00,,Galle,Southern,5.9751115,80.3609644,openstreetmap,points_of_interest.geojson
node/13624756801,No Fish Today,no fish today,food,restaurant,,restaurant,,,Mo-Sa 00:00-24:00,,Galle,Southern,5.9730626,80.3613819,openstreetmap,points_of_interest.geojson
node/6621161485,Vegetables Market,vegetables market,shopping,greengrocer,,,greengrocer,,,,Galle,Southern,5.9734246,80.3618748,openstreetmap,points_of_interest.geojson
node/6621102390,Fruits Market,fruits market,shopping,greengrocer,,,greengrocer,,,,Galle,Southern,5.9738013,80.3627549,openstreetmap,points_of_interest.geojson
node/5273092430,Crust Pizza Ahangama,crust pizza ahangama,food,restaurant,,restaurant,,,,,Galle,Southern,5.9727643,80.3635222,openstreetmap,points_of_interest.geojson
node/11377340469,UFO,ufo,food,cafe,,cafe,,,Mo-Su 07:30-18:30,,Galle,Southern,5.9719763,80.3643438,openstreetmap,points_of_interest.geojson
node/6261954986,baboo Ocean Cafe,baboo ocean cafe,food,restaurant,,restaurant,,,24/7,,Galle,Southern,5.9717898,80.3645919,openstreetmap,points_of_interest.geojson
node/13472741201,Pickled Pelican,pickled pelican,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9722094,80.363874,openstreetmap,points_of_interest.geojson
node/13439515983,Lamana,lamana,food,bar,,bar,,,,,Galle,Southern,5.9723738,80.3639983,openstreetmap,points_of_interest.geojson
node/13439510406,Cargills Express,cargills express,shopping,supermarket,,,supermarket,,,,Galle,Southern,5.9725213,80.3638789,openstreetmap,points_of_interest.geojson
node/5743057421,7th Sky Idyll,7th sky idyll,accommodation,guest_house,guest_house,,,,,,Galle,Southern,5.9725109,80.3630922,openstreetmap,points_of_interest.geojson
node/10779286306,Beach views,beach views,attraction,viewpoint,viewpoint,,,,,,Galle,Southern,5.9741842,80.3582339,openstreetmap,points_of_interest.geojson
node/3053026802,Insight Hotel,insight hotel,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.973408,80.3601854,openstreetmap,points_of_interest.geojson
node/7026423488,JAM,jam,accommodation,hotel,hotel,,,,Mo-Su 06:00-22:00,,Galle,Southern,5.9741413,80.3592737,openstreetmap,points_of_interest.geojson
node/6459157303,Hana's place,hana s place,food,restaurant,,restaurant,,,Mo-Su 09:00-22:00,,Galle,Southern,5.9757646,80.3556163,openstreetmap,points_of_interest.geojson
node/7108819087,Peacock Gift Collection,peacock gift collection,shopping,gift,,,gift,,,,Galle,Southern,5.9755254,80.3555826,openstreetmap,points_of_interest.geojson
node/12777802101,Stilt fishermen,stilt fishermen,attraction,attraction,attraction,,,,,,Galle,Southern,5.9754302,80.3544967,openstreetmap,points_of_interest.geojson
node/6145426186,Mojo,mojo,food,cafe,,cafe,,,,,Galle,Southern,5.9760024,80.3540642,openstreetmap,points_of_interest.geojson
node/11442944371,TRAX Ahangama,trax ahangama,food,bar,,bar,,,"Wd-Th 19:00-01:00, Fr 19:00-2:30, Sa 19:00-1:30, Su 19:00-23:00",Ahangama,Galle,Southern,5.9781098,80.3524017,openstreetmap,points_of_interest.geojson
way/708013280,Bojangles Beach House,bojangles beach house,accommodation,hotel,hotel,,,,,Unawatuna,Galle,Southern,5.9770597,80.35261315,openstreetmap,points_of_interest.geojson
node/7190876285,A'la Carte Restaurant,a la carte restaurant,food,restaurant,,restaurant,,,,,Galle,Southern,5.9784608,80.3537012,openstreetmap,points_of_interest.geojson
node/4547915890,Little Hut cafe,little hut cafe,food,cafe,,cafe,,,,,Galle,Southern,5.9779018,80.3513365,openstreetmap,points_of_interest.geojson
node/6620925486,7th Sky Edyll,7th sky edyll,accommodation,hotel,hotel,,,,,,Galle,Southern,5.9772197,80.3510783,openstreetmap,points_of_interest.geojson
way/925434781,Teal Ahangama,teal ahangama,accommodation,hotel,hotel,,,,,Ahangama,Galle,Southern,5.97769355,80.35093292937597,openstreetmap,points_of_interest.geojson
node/3053007012,Timeless Villa,timeless villa,accommodation,hotel,hotel,,,,,Unawatuna,Galle,Southern,5.9777631,80.3502843,openstreetmap,points_of_interest.geojson
node/13545536201,Kabalana Surf Club,kabalana surf club,accommodation,hostel,hostel,,,,,,Galle,Southern,5.977847,80.3474477,openstreetmap,points_of_interest.geojson
node/3053007005,Ceilao Villas Kabalana,ceilao villas kabalana,accommodation,hotel,hotel,,,,,Koggala,Galle,Southern,5.9779728,80.3476478,openstreetmap,points_of_interest.geojson
node/3053007011,Cafe Ceylon Hotel,cafe ceylon hotel,accommodation,hotel,hotel,,,,,Unawatuna,Galle,Southern,5.9782858,80.3490548,openstreetmap,points_of_interest.geojson
node/13828686766,Wild Beach,wild beach,attraction,attraction,attraction,,,,,,Matara,Southern,5.9648428,80.3845712,openstreetmap,points_of_interest.geojson
node/5416875321,Wild Beach Bar,wild beach bar,food,bar,,bar,,,,,Matara,Southern,5.964869,80.3844484,openstreetmap,points_of_interest.geojson
node/4437193978,Midigama Right,midigama right,attraction,viewpoint,viewpoint,,,,,,Matara,Southern,5.9647634,80.3836015,openstreetmap,points_of_interest.geojson
node/2643487666,Gartons Cape,gartons cape,accommodation,hotel,hotel,,,,,,Matara,Southern,5.9657659,80.382347,openstreetmap,points_of_interest.geojson
way/426921489,Surf Mount Plant Inn Midigama,surf mount plant inn midigama,accommodation,guest_house,guest_house,,,,,,Matara,Southern,5.965323850000001,80.38445670465939,openstreetmap,points_of_interest.geojson
way/426921500,Romaclan Villa Rooms,romaclan villa rooms,accommodation,guest_house,guest_house,,,,,,Matara,Southern,5.9658768,80.38510657776786,openstreetmap,points_of_interest.geojson
node/5430597421,Soul & Surf,soul surf,accommodation,apartment,apartment,,,,,,Matara,Southern,5.9765819,80.3825348,openstreetmap,points_of_interest.geojson
node/13243344414,Cocoya,cocoya,accommodation,guest_house,guest_house,,,,,Ahangama,Matara,Southern,5.9750924,80.3885258,openstreetmap,points_of_interest.geojson
node/5339047721,Midigama Haven,midigama haven,accommodation,guest_house,guest_house,,,,,,Matara,Southern,5.96792,80.3906783,openstreetmap,points_of_interest.geojson
node/4437193977,Subodinee Cabanas,subodinee cabanas,accommodation,chalet,chalet,,,,,Midigama,Matara,Southern,5.9669729,80.3907033,openstreetmap,points_of_interest.geojson
node/5366063421,Café Pleasure,cafe pleasure,food,restaurant,,restaurant,,,Mo-Su 07:00-22:00,,Matara,Southern,5.9660209,80.3913772,openstreetmap,points_of_interest.geojson
node/6265936986,Surfing Wombats,surfing wombats,food,restaurant,,restaurant,,,"Mo-Su 08:30-14:30, 18:00-23:00",,Matara,Southern,5.9662971,80.3916334,openstreetmap,points_of_interest.geojson
node/4679540196,Surfing Wombats,surfing wombats,accommodation,hostel,hostel,,,,,,Matara,Southern,5.9663813,80.3916522,openstreetmap,points_of_interest.geojson
